,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
0,1103341116,2015-12-21T00:00:00,1251.0,,,CA,200304.0,,,PA,GY,13147 WELBY WAY,01521,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
1,1103700150,2015-12-21T00:00:00,1435.0,,,CA,201512.0,,,VN,WH,525 S MAIN ST,1C51,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
2,1104803000,2015-12-21T00:00:00,2055.0,,,CA,201503.0,,,PA,BK,200 WORLD WAY,2R2,2.0,8939,WHITE CURB,58.0,6439997.9,1802686.4
3,1104820732,2015-12-26T00:00:00,1515.0,,,CA,,,,PA,WH,100 WORLD WAY,2F11,2.0,000,17104h,,6440041.1,1802686.2
4,1105461453,2015-09-15T00:00:00,115.0,,,CA,200316.0,,CHEV,PA,BK,GEORGIA ST/OLYMPIC,1FB70,1.0,8069A,NO STOPPING/STANDING,93.0,99999.0,99999.0
5,1106226590,2015-09-15T00:00:00,19.0,,,CA,201507.0,,,VN,GY,SAN PEDRO S/O BOYD,1A35W,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
6,1106500452,2015-12-17T00:00:00,1710.0,,,CA,201605.0,,MAZD,PA,BL,SUNSET/ALVARADO,00217,1.0,8070,PARK IN GRID LOCK ZN,163.0,99999.0,99999.0
7,1106500463,2015-12-17T00:00:00,1710.0,,,CA,201602.0,,,PA,BK,SUNSET/ALVARADO,00217,1.0,8070,PARK IN GRID LOCK ZN,163.0,99999.0,99999.0
8,1106506402,2015-12-22T00:00:00,945.0,,,CA,201605.0,,,PA,BR,721 S WESTLAKE,2A75,1.0,8069AA,NO STOP/STAND AM,93.0,99999.0,99999.0
9,1106506413,2015-12-22T00:00:00,1100.0,,,CA,201701.0,,,PA,SI,1159 HUNTLEY DR,2A75,1.0,8069AA,NO STOP/STAND AM,93.0,99999.0,99999.0
10,1106506424,2015-12-22T00:00:00,1100.0,,,CA,201511.0,,FORD,TR,WH,1159 HUNTLEY DR,2A75,1.0,8069AA,NO STOP/STAND AM,93.0,99999.0,99999.0
11,1106506435,2015-12-22T00:00:00,1105.0,,,CA,201701.0,,CHRY,PA,GO,1159 HUNTLEY DR,2A75,1.0,8069AA,NO STOP/STAND AM,93.0,99999.0,99999.0
12,1106506446,2015-12-22T00:00:00,1110.0,,,CA,201511.0,,,PA,BK,1200 W MIRAMAR,2A75,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
13,1106549754,2015-12-15T00:00:00,825.0,,,CA,201607.0,,,TR,BK,4TH/STATE,CM96,1.0,8069A,NO STOPPING/STANDING,93.0,99999.0,99999.0
14,1107179581,2015-12-27T00:00:00,1055.0,,,CA,201605.0,,TOYO,PA,BK,3100 N HOLLYRIDGE DR,,54.0,8058L,PREF PARKING,68.0,99999.0,99999.0
15,1107179592,2015-12-27T00:00:00,1200.0,,,CA,201602.0,,,PA,BK,3115 N BERENDO DR,,54.0,8058L,PREF PARKING,68.0,99999.0,99999.0
16,1107179603,2015-12-27T00:00:00,1400.0,,,CA,201611.0,,,PA,WH,3100 N BEACHWOOD DR,,54.0,8058L,PREF PARKING,68.0,99999.0,99999.0
17,1107539823,2015-09-16T00:00:00,2120.0,,,CA,201502.0,,,PA,,BLAINE/11TH PL,1FB95,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
18,1107539834,2015-09-16T00:00:00,1045.0,,,CA,,,CHEV,PA,BK,1246 S FIGUEROA ST,1L20,1.0,8069AP,NO STOP/STAND PM,93.0,99999.0,99999.0
19,1107780811,2015-12-22T00:00:00,1102.0,,,CA,201606.0,,HOND,PA,BK,PLATA/RAMPART,2A1,1.0,8069B,NO PARKING,73.0,99999.0,99999.0
20,1107780822,2015-12-22T00:00:00,1105.0,,,FL,201611.0,,,PA,WH,,2A1,1.0,8069B,NO PARKING,73.0,99999.0,99999.0
21,1107973985,2015-12-18T00:00:00,1920.0,,,CA,201509.0,,NISS,PA,BK,VICAR/CASTLE HEIGHTS,8A95,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
22,1107973996,2015-12-18T00:00:00,1930.0,,,CA,201511.0,,HOND,PA,BK,REGENT ST/IVY ST,8A95,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
23,1107978852,2015-12-18T00:00:00,1900.0,,,CA,201511.0,,,PA,SI,1707 GLENDON AV,8A29,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
24,1108311002,2015-12-22T00:00:00,140.0,,,CA,201603.0,,,PA,RE,12113 BURBANK BL,01532,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
25,1108311013,2015-12-22T00:00:00,150.0,,,CA,201610.0,,FORD,SU,GY,6936 AGNES AV,01514,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
26,1108311024,2015-12-22T00:00:00,205.0,,,CA,201607.0,,,PA,BL,12036 SATICOY ST,01503,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
27,1108311035,2015-12-22T00:00:00,200.0,,,CA,201511.0,,,PA,BK,7466 LAUREL CYN BL,01503,1.0,099,5204,25.0,99999.0,99999.0
28,1108311046,2015-12-22T00:00:00,225.0,,,CA,201512.0,,,PA,SI,BURBANK BL/COLFAX AV,01535,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
29,1108311050,2015-12-22T00:00:00,510.0,,,CA,201601.0,,TESL,PA,GY,11411 DONA PEGITA DR,,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
30,1108319494,2015-12-22T00:00:00,135.0,,,CA,201601.0,,MBNZ,PA,WH,12355 BURBANK BL,01503,1.0,5200A,DSPLYPLATE A,25.0,99999.0,99999.0
31,1108321701,2015-12-21T00:00:00,926.0,,,CA,201510.0,,ACUR,PA,BK,5741 FLUTCHER AVE,15EL5,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
32,1108321712,2015-12-21T00:00:00,935.0,,,CA,201506.0,,TOYO,PA,SI,5611 FLUTCHER AVE,15EL5,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
33,1108321723,2015-12-21T00:00:00,1041.0,,,CA,201610.0,,,PA,BK,10635 FRIAR ST,15EL5,1.0,8056E4,RED ZONE,93.0,6451860.6,1890192.1
34,1108321734,2015-12-21T00:00:00,1058.0,,,CA,201506.0,,,HS,WH,WELBY WAY/VANOWEN ST,15EL5,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
35,1108347984,2015-12-09T00:00:00,1250.0,,,CA,201511.0,,SUBA,PA,MA,GRAND AVE/57TH ST,00013,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
36,1108347995,2015-12-09T00:00:00,1300.0,,,CA,201511.0,,,PA,WH,48TH ST/GRAND AVE,00013,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
37,1109056185,2015-12-28T00:00:00,1938.0,WF55,,CA,201512.0,,ACUR,PA,GY,100 S HARPER AV,00472,54.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
38,1109056196,2015-12-28T00:00:00,1942.0,WF54,,CA,,,,PA,GY,100 S HARPER,00472,54.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
39,1109056200,2015-12-28T00:00:00,1951.0,WF177A,,CA,201604.0,,,PA,GY,8372 W 3RD ST,00472,54.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
40,1109056211,2015-12-28T00:00:00,1953.0,WF99,,CA,201603.0,,,PA,WH,1005 ORLANDO,00472,54.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
41,1109056222,2015-12-28T00:00:00,1955.0,WF100,,CA,201601.0,,NISS,PA,SI,100 S ORLANDO,00472,54.0,8813B,METER EXPIRED,63.0,99999.0,99999.0
42,1109139006,2015-12-19T00:00:00,1550.0,,,CA,201608.0,,,,GO,14006 RIVERSIDE DR,35MQ1,1.0,225078A,HANDICAP/NO DP ID,363.0,6429130.8,1880027.3
43,1109455266,2015-12-26T00:00:00,1815.0,,,NY,,,TOYO,PA,WH,3200 CANYON DR,,36.0,8603,PK IN PROH AREA,68.0,6467477.1,1868721.0
44,1109455270,2015-12-27T00:00:00,1815.0,,,CA,201603.0,,,PA,GY,3200 CANYON DR,,36.0,8603,PK IN PROH AREA,68.0,6467477.1,1868721.0
45,1109455745,2015-12-23T00:00:00,2140.0,,,CA,201512.0,,,TR,BL,835 N ACADEMY RD,,36.0,8603,PK IN PROH AREA,68.0,6490251.3,1851321.5
46,1109455970,2015-12-26T00:00:00,2240.0,,,CA,201507.0,,,PA,GY,3787 MARATHON,,36.0,8603,PK IN PROH AREA,68.0,6475830.9,1853025.9
47,1109484191,2015-12-16T00:00:00,100.0,,,CA,201508.0,,NISS,PA,BK,TOBERMAN N/O 18TH ST,2A45,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
48,1109484202,2015-12-16T00:00:00,135.0,,,CA,201510.0,,,PA,BL,TOBERMAN/17TH ST,2A45,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
